#separator:Tab
#html:true
#deck:🕉️ Sanskrit Internal Consonant Sandhi
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
internal_consonant_sandhi:satva:havis+i	<center><big><big><big>हविस् + इ</big></big></big></center>	<center><big><big><b>हवींषि</b></big></big><br><big>havis + i → havīṃṣi</big><br><br><b>स् becomes ष् after any vowel except अ/आ, or after क् or र्</b><br>Three things must hold: (1) the sound just before the स् is a vowel other than अ/आ, or क-varga, र् or ल्; (2) the स् is neither word-final nor followed by र् (so तिस्रः and तमिस्र keep their स्); (3) only anusvāra, visarga or a sibilant may intervene. Note the contrast with ṇatva, which reaches across vowels, क-varga, प-varga, य् व् and ह् — here the trigger must otherwise be immediately adjacent. हिंस् and पुंस् are lexical exceptions.<br><br><small>trigger ई · through the anusvāra</small></center>
internal_consonant_sandhi:satva:marut+su	<center><big><big><big>मरुत् + सु</big></big></big></center>	<center><big><big><b>मरुत्सु</b></big></big><br><big>marut + su → marutsu</big><br><br><b>Blocked: त् is not one of the sounds that trigger ṣatva</b><br>The ending -सु retroflexes only when the sound just before it is a trigger. Compare अग्नि + सु → अग्निषु (the vowel इ triggers) and वाक् + सु → वाक्षु (क् triggers); after त् nothing happens, so मरुत्सु keeps its dental स्.<br><br><small>trigger would have to be त् — not in the set · स् stays dental</small></center>
internal_consonant_sandhi:natva:brahman+ā	<center><big><big><big>ब्रह्मन् + आ</big></big></big></center>	<center><big><big><b>ब्रह्मणा</b></big></big><br><big>brahman + ā → brahmaṇā</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger र् · through अ ह् म् (ह् + प-varga) · न् before आ</small></center>
internal_consonant_sandhi:natva:rāma+ena	<center><big><big><big>राम + एन</big></big></big></center>	<center><big><big><b>रामेण</b></big></big><br><big>rāma + ena → rāmeṇa</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger र् · through आ म् ए (प-varga + vowels) · न् before अ</small></center>
internal_consonant_sandhi:natva:viṣa+ena	<center><big><big><big>विष + एन</big></big></big></center>	<center><big><big><b>विषेण</b></big></big><br><big>viṣa + ena → viṣeṇa</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger ष् · through ए (vowel) · न् before अ</small></center>
internal_consonant_sandhi:natva:guru+nā	<center><big><big><big>गुरु + ना</big></big></big></center>	<center><big><big><b>गुरुणा</b></big></big><br><big>guru + nā → guruṇā</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger र् · through उ (vowel) · न् before आ</small></center>
internal_consonant_sandhi:natva:mṛga+ānām	<center><big><big><big>मृग + आनाम्</big></big></big></center>	<center><big><big><b>मृगाणाम्</b></big></big><br><big>mṛga + ānām → mṛgāṇām</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger ऋ · through ग् आ (क-varga + vowel) · न् before आ</small></center>
internal_consonant_sandhi:natva:kārya+āni	<center><big><big><big>कार्य + आनि</big></big></big></center>	<center><big><big><b>कार्याणि</b></big></big><br><big>kārya + āni → kāryāṇi</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger र् · through य् आ (य् + vowel) · न् before इ</small></center>
internal_consonant_sandhi:natva:sarva+āni	<center><big><big><big>सर्व + आनि</big></big></big></center>	<center><big><big><b>सर्वाणि</b></big></big><br><big>sarva + āni → sarvāṇi</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger र् · through व् आ (व् + vowel) · न् before इ</small></center>
internal_consonant_sandhi:natva:bṛṃh+ana	<center><big><big><big>बृंह् + अन</big></big></big></center>	<center><big><big><b>बृंहण</b></big></big><br><big>bṛṃh + ana → bṛṃhaṇa</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger ऋ · through ं ह् अ (anusvāra + ह्) · न् before अ</small></center>
internal_consonant_sandhi:natva:car+ana	<center><big><big><big>चर् + अन</big></big></big></center>	<center><big><big><b>चरण</b></big></big><br><big>car + ana → caraṇa</big><br><br><b>न् becomes ण् after र् ऋ ॠ or ष् in the same word</b><br>Three things must all hold: (1) a trigger — र् ऋ ॠ or ष् — earlier in the same word; (2) the न् is followed by a vowel or by न् म् य् व्; (3) only vowels, क-varga, प-varga, य् व् ह् or anusvāra stand in between. Any other intervening sound — a palatal, cerebral, dental, ल् श् or स् — blocks it.<br><br><small>trigger र् · through अ (vowel) · न् before अ — condition 2 is met</small></center>
internal_consonant_sandhi:natva:car+anti	<center><big><big><big>चर् + अन्ति</big></big></big></center>	<center><big><big><b>चरन्ति</b></big></big><br><big>car + anti → caranti</big><br><br><b>Blocked: the न् must be followed by a vowel or by न् म् य् व्</b><br>Compare चर् + अन → चरण. The trigger र् and the intervening अ are the same in both; here the न् is followed by त्, which is not one of the permitted following sounds, so it stays dental. This is also why a word-final न् never retroflexes — nothing follows it.<br><br><small>trigger र् · through अ (vowel) · न् before त् — condition 2 FAILS</small></center>
internal_consonant_sandhi:natva:arjuna+ena	<center><big><big><big>अर्जुन + एन</big></big></big></center>	<center><big><big><b>अर्जुनेन</b></big></big><br><big>arjuna + ena → arjunena</big><br><br><b>Blocked: an intervening palatal, cerebral or dental stops ṇatva</b><br>The र् of अर्- would retroflex the न् of the ending, but the palatal ज् stands between them and is not one of the permitted intervening sounds — hence अर्जुनेन, never अर्जुणेन. Compare राम + एन → रामेण, where only the labial म् intervenes and does not block.<br><br><small>trigger र् · through ज् (palatal) — condition 3 FAILS</small></center>
